Taluk name,Total Agricultural Land Holders _Total_numbers_Male,Total Agricultural Land Holders _Total_numbers_Female,Total Agricultural Land Holders _Total_numbers_Institution,Total Agricultural Land Holders _Total_numbers_Total,Total Agricultural Land Holders _Total_Area_Male,Total Agricultural Land Holders _Total_Area_Female,Total Agricultural Land Holders _Total_Area_Institutions,Total Agricultural Land Holders _Total_Area_Total
Honnali,33845,10459,117,44421,42724.85,13068.64,200.48,55993.97
Honnavar,21728,5387,184,27299,10246.58,2040.11,84.66,12371.35
Hosadurga,42721,9441,116,52278,61984.22,12542.28,513.35,75039.85
Hosanagar,13612,4418,13,18043,16902.74,5464.32,20.72,22387.78
Hoskote,40279,9236,71,49586,30101.81,5600.67,68.5,35770.98
Hospet,15403,5301,75,20779,16982.94,5414.89,187.29,22585.12
Hubballi Nagara,0,0,0,0,0,0,0,0
Hubli,24637,5154,38,29829,50967.22,9884.22,160.1,61011.54
Hukkeri,50069,3998,58,54125,63738,4690,395,68823
Hulasuru,0,0,0,0,0,0,0,0
Humnabad,34951,9849,63,44863,58556.12,15823.13,99.2,74478.45
Hungund,38529,10302,24,48855,83569.08,21400.84,62.92,105032.84
Hunisigi,0,0,0,0,0,0,0,0
Hunsur,43508,14738,40,58286,41698.27,13908.94,171.87,55779.08
Ilkal,0,0,0,0,0,0,0,0
Indi,72171,10670,32,82873,178301.29,23516.91,210.47,202028.67
Jagaluru,28815,9546,111,38472,49692.44,16209.68,282.93,66185.05
Jamakhandi,49006,7125,25,56156,80014.35,10441.14,131.92,90587.41
Jevargi,54761,18849,26,73636,124077.15,38655.71,93.93,162826.79
Joida,4425,1165,6,5596,6936.29,1630.73,4.53,8571.55
K.G.F,30431,5646,36,36113,22461.54,4599.93,54.51,27115.98
K.R.Nagar,53639,15015,64,68718,32623.12,8931.16,65.72,41620
Kadaba,13091,5938,62,19091,10054.92,4401.89,77.78,14534.59
Kadur,64955,12002,421,77378,80860.13,13811.73,928.58,95600.44
Kagavada,0,0,0,0,0,0,0,0
Kalagi,0,0,0,0,0,0,0,0
Kalgatgi,20096,3854,34,23984,35811.9,6430.1,360.97,42602.97
Kamalanagara,0,0,0,0,0,0,0,0
Kamalapura,0,0,0,0,0,0,0,0
Kampli,14326,4600,24,18950,20656.61,6719.74,56.67,27433.02
Kanakagiri,0,0,0,0,0,0,0,0
Kanakpura,75189,20843,30,96062,53509.7,14436.69,58.51,68004.9
Kapu,9616,7796,78,17490,4912,5052,143,10107
Karatagi,0,0,0,0,0,0,0,0
Karkala,18692,14489,145,33326,17916,14214,423,32553
Karwar,16940,7471,53,24464,6420.96,2335.41,12.97,8769.34
Khanapur,34900,3076,177,38153,64535,5230,770,70535
Kitthuru,0,0,0,0,0,0,0,0
Kolar,62368,13063,43,75474,40932.91,8054.99,44.15,49032.05
Kolhara,0,0,0,0,0,0,0,0
Kollegala,52263,13982,64,66309,54690.61,13498.91,250.36,68439.88
Kollegala(Hanur),0,0,0,0,0,0,0,0
Koppa,8731,2928,173,11832,12727.95,4363.42,3320.42,20411.79
Koppal,37742,9317,29,47088,71870.11,15596.04,174.11,87640.26
Koratagere,25361,7973,32,33366,32846.69,9594.56,67.05,42508.3
Kotturu,15341,3732,54,19127,31036.21,7430.55,187.16,38653.92
Krishnarajpet,69364,20906,530,90800,45850.74,12511.74,700.35,59062.83
Kudligi,26655,6354,60,33069,54782.09,11600.59,143.35,66526.03
Kukanuru,0,0,0,0,0,0,0,0
Kumta,22600,7046,50,29696,10262.94,2916.75,36.63,13216.32
Kundapur,29997,23938,69,54004,18308,14773,55,33136
Kundgol,25502,3932,30,29464,53008.73,8012.38,80.6,61101.71
Kunigal,47803,10975,48,58826,49130.07,10738.89,100,59968.96
Kurugodu,16387,5726,64,22177,29678.68,8732.52,256.4,38667.6
Kushtagi,49645,9381,52,59078,96655.99,17161.46,62.05,113879.5
Laxmeshwar,0,0,0,0,0,0,0,0
Lingasugur,48346,6446,5,54797,110117.16,11954.66,14.86,122086.68
Maddur,66212,20462,227,86901,32957.85,8654.85,559.2,42171.9
Madhugiri,39967,10243,41,50251,52896.13,12332.54,104.49,65333.16
Madikeri,17740,2760,121,20621,44977.17,5440.37,1289.33,51706.87
Magadi,52161,13719,6,65886,40375.92,10911.27,45.51,51332.7
Malavalli,69682,20821,237,90740,38729.26,9991.69,483.39,49204.34
Malur,40935,10149,57,51141,34311.79,7708.69,76.57,42097.05
Mandya,78441,26432,458,105331,38093.1,11048.85,965.4,50107.35
Mangalore,15034,8922,94,24050,12364.24,7219.61,142.79,19726.64
Manvi,58441,14615,149,73205,125064.69,26611.1,4047.93,155723.72
Maski,3276,564,4,3844,1883.55,683.79,6,2573.34
Molakalmuru,16255,6101,92,22448,30946.07,11841.44,209.16,42996.67
Mudabidri,10020,5948,67,16035,8240.14,4813.06,95.2,13148.4
Mudalagi,0,0,0,0,0,0,0,0
Muddebihal,41723,7509,0,49232,108410.9,17984.35,0,126395.25
Mudhol,34845,8475,61,43381,64167.13,14274.98,669.41,79111.52
Mudigere,17486,5681,198,23365,32600.39,9887.75,3221.65,45709.79
Mulabagilu,50576,10291,106,60973,41218.68,7911.5,226.11,49356.29
Mundargi,23487,4881,42,28410,51621.11,9593.3,131.69,61346.1
Mundgod,8839,2205,29,11073,12096.71,2959.13,41.63,15097.47
Mysuru,44917,17656,21,62594,29822.78,11829.14,12,41663.92
Nagamangala,70104,19128,446,89678,51061.87,12702.11,725.83,64489.81
Nanjangud,66270,12033,132,78435,58572.17,9196.19,538.27,68306.63
Naragund,14880,3157,11,18048,34189.87,6236.39,118.47,40544.73
Narasimharajapura,6153,1977,84,8214,9449.93,2798.44,1130.91,13379.28
Navalgund,32955,6396,31,39382,85489.32,14951.82,165.49,100606.63
Nelamangala,29437,9460,16,38913,25733.89,7513.05,51.5,33298.44
Nidagundi,0,0,0,0,0,0,0,0
Nippani,0,0,0,0,0,0,0,0
Nyamati,0,0,0,0,0,0,0,0
Pandavpura,42859,13518,243,56620,25168.57,7020.23,458.51,32647.31
Pavagada,28457,9588,11,38056,67444.22,20647.58,46.7,88138.5
Piriyapatna,39144,11903,22,51069,36510.54,11834.15,1739.79,50084.48
Puttur,19642,8912,94,28648,15088.3,6606.91,116.66,21811.87
Rabakavi Banahatti,0,0,0,0,0,0,0,0
Raibag,44192,3619,90,47901,74218,4930,795,79943
Raichur,46861,8831,146,55838,84977.89,13957.75,484.16,99419.8
Ramadurg,38627,4864,166,43657,84520,9826,3886,98232
Ramanagar,34332,10008,39,44379,25065.42,6963.34,55.76,32084.52
Ranebennur,37105,4289,37,41431,59553.5,6150.03,117.38,65820.91
Ratteehalli,0,0,0,0,0,0,0,0
Rona,47458,7653,25,55136,102222.01,15430,92.21,117744.22
Sagara,24378,7687,38,32103,26416.47,7981.83,204.9,34603.2
Sakleshpura,22175,5586,54,27815,39504.83,8181.56,371.2,48057.59
Saraguru,0,0,0,0,0,0,0,0
Savadatti,49268,5793,130,55191,108956,12245,2952,124153
Savanur,21694,2304,30,24028,43519.9,4189.89,300.02,48009.81
Sedam,37289,10226,40,47555,67384.3,18492.9,177.92,86055.12
Shahapur,59498,14416,1,73915,117706.43,27842.68,2.06,145551.17
Shahbadha,0,0,0,0,0,0,0,0
Shidlagatta,25116,8098,70,33284,19383.22,6346.8,72.37,25802.39
Shiggaon,20066,3390,50,23506,36680.39,6042,266.86,42989.25
Shikaripura,32875,8318,108,41301,38696.45,9362.32,165.76,48224.53
Shimoga,27598,8733,167,36498,31147.81,9820.67,689.85,41658.33
Shirahatti,31790,5391,80,37261,67267.68,9748.39,287.17,77303.24
Shorapur,61270,13214,4,74488,125582.2,26128.36,11.99,151722.55
Siddapur,14024,3918,29,17971,11520.79,3160.83,55.48,14737.1
Sindagi,66559,10696,3,77258,175068.47,26285.38,2.33,201356.18
Sindhanur,31391,10259,320,41970,79215.29,22050.64,2159.74,103425.67
Sira,42933,13221,46,56200,77008.5,21877.02,162.06,99047.58
Siraguppa,35358,12497,179,48034,64134.06,19818.84,524.43,84477.33
Sirivara,6429,2108,11,8548,3154,564.6,10,3728.6
Sirsi,17446,4494,69,22009,19479.72,4467.19,120.15,24067.06
Somawarpet,21505,5155,165,26825,36158.51,8140.73,2816.87,47116.11
Sonduru,21711,4755,16,26482,30139.79,6377.03,41.35,36558.17
Soraba,32336,7138,97,39571,43856.14,9801.71,200.62,53858.47
Sringeri,4421,1557,44,6022,4228.17,1450.65,55.86,5734.68
Srinivaspura,39533,7560,26,47119,37158.61,6248.27,36.33,43443.21
Srirangapatna,31024,10350,207,41581,17367.08,5261.39,300.39,22928.86
Sulya,18969,6694,110,25773,18037.68,5894.79,174.04,24106.51
T.Narasipura,65723,17274,78,83075,34916.81,9207.36,93.42,44217.59
Talikote,0,0,0,0,0,0,0,0
Tarikere,44656,8866,170,53692,52912.84,9754.39,1267.74,63934.97
Thirthahalli,19098,5986,50,25134,20495.58,6576,131.75,27203.33
Tikota,0,0,0,0,0,0,0,0
Tiptur,41058,10696,68,51822,45630.96,10435.28,222.15,56288.39
Tumkur,52074,15476,34,67584,50196.8,14192.32,111.36,64500.48
Turuvekere,41787,9958,48,51793,40763.32,8076.43,87.16,48926.91
Udupi,7613,6004,84,13701,6880,5067,152,12099
Vadagera,0,0,0,0,0,0,0,0
Virajpet,18030,2586,99,20715,54050.01,6869.05,4729.72,65648.78
Yadgir,72873,11297,50,84220,116491.86,19176.96,173.34,135842.16
Yadrami,0,0,0,0,0,0,0,0
Yalandur,15148,3594,37,18779,7720.14,1667.73,33.49,9421.36
Yelahanka,0,0,0,0,0,0,0,0
Yelburga,49035,12150,36,61221,103997.97,23797.33,187.36,127982.66
Yellapur,7340,1426,21,8787,8005.76,1430.51,23.79,9460.06
State total,6919313,1742580,18846,8680739,9612322.05,2102425.6,90349.49,11805097.14
